"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","77","","TestServiceEndpointTest","","TestServiceEndpointTest","successReloginAfterLogout","Успешный повторный вход после выхода",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","80","","TestServiceEndpointTest","","TestServiceEndpointTest","failureLoginExternalServiceUnavailable","Неуспешный запрос авторизации: action=LOGIN, недоступен внешний сервис",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","35","","TestServiceEndpointTest","","TestServiceEndpointTest","successAuthorization","Успешный запрос авторизации: action=LOGIN",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","38","","TestServiceEndpointTest","","TestServiceEndpointTest","failureApiKeyValidation","failureApiKeyValidation(String, String) Неуспешный запрос авторизации: передан некорректный api key 123 (Некорректный api key)",""
"passed","Thu Sep 17 10:49:56 MSK 2026","Thu Sep 17 10:49:56 MSK 2026","13","","TestServiceEndpointTest","","TestServiceEndpointTest","failureTokenValidation","Неуспешный запрос авторизации: action=LOGIN, некорректный токен Неуспешный запрос авторизации: передан некорректный токен 5707A5BC7FFA4D269F3CDBEC3708DE31A (Длиннее 32 символов)",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","17","","TestServiceEndpointTest","","TestServiceEndpointTest","failureActionNoLogin","Неуспешный запрос action: action=ACTION, отсутствует авторизация",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","33","","TestServiceEndpointTest","","TestServiceEndpointTest","failureRepeatedLogin","Неуспешный запрос авторизации: action=LOGIN, повторная отправка",""
"passed","Thu Sep 17 10:49:44 MSK 2026","Thu Sep 17 10:49:45 MSK 2026","371","","TestServiceEndpointTest","","TestServiceEndpointTest","failureActionWithDifferentToken","Неуспешный запрос действия: чужой токен не имеет доступа",""
"passed","Thu Sep 17 10:49:56 MSK 2026","Thu Sep 17 10:50:06 MSK 2026","10024","","TestServiceEndpointTest","","TestServiceEndpointTest","failureLoginExternalServiceTimeout","Неуспешный запрос авторизации: action=LOGIN, внешний сервис не отвечает 10 секунд",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","22","","TestServiceEndpointTest","","TestServiceEndpointTest","failureMissingParameterAction","Неуспешный запрос авторизации: не передан action",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","36","","TestServiceEndpointTest","","TestServiceEndpointTest","successLogout","Успешный запрос logout: action=LOGOUT",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","57","","TestServiceEndpointTest","","TestServiceEndpointTest","successRepeatedAction","Успешный запрос action: action=ACTION, повторный запрос",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","17","","TestServiceEndpointTest","","TestServiceEndpointTest","failureLogoutNoLogin","Неуспешный запрос logout: action=LOGOUT, отсутствует авторизация",""
"passed","Thu Sep 17 10:49:45 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","10069","","TestServiceEndpointTest","","TestServiceEndpointTest","failureActionExternalServiceTimeout","Неуспешный запрос авторизации: action=ACTION, внешний сервис не отвечает 10 секунд)",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","36","","TestServiceEndpointTest","","TestServiceEndpointTest","successAction","Успешный запрос action: action=ACTION",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","38","","TestServiceEndpointTest","","TestServiceEndpointTest","failureActionExternalServiceUnavailable","Неуспешный запрос action: action=ACTION, недоступен внешний сервис",""
"passed","Thu Sep 17 10:49:56 MSK 2026","Thu Sep 17 10:49:56 MSK 2026","12","","TestServiceEndpointTest","","TestServiceEndpointTest","failureTokenValidation","Неуспешный запрос авторизации: action=LOGIN, некорректный токен Неуспешный запрос авторизации: передан некорректный токен 5707A5BC7FFA4D269F3CDBEC3708De31 (Нижний регистр)",""
"passed","Thu Sep 17 10:49:56 MSK 2026","Thu Sep 17 10:49:56 MSK 2026","13","","TestServiceEndpointTest","","TestServiceEndpointTest","failureTokenValidation","Неуспешный запрос авторизации: action=LOGIN, некорректный токен Неуспешный запрос авторизации: передан некорректный токен 5707A5BC7FFA4D269F3CDBEC3708DE3 (Короче 32 символов)",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:56 MSK 2026","12","","TestServiceEndpointTest","","TestServiceEndpointTest","failureIncorrectAction","Неуспешный запрос авторизации: action=UNKNOWN",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","39","","TestServiceEndpointTest","","TestServiceEndpointTest","failureRepeatedLogout","Неуспешный запрос logout: action=LOGOUT, повторная отправка",""
"passed","Thu Sep 17 10:49:56 MSK 2026","Thu Sep 17 10:49:56 MSK 2026","13","","TestServiceEndpointTest","","TestServiceEndpointTest","failureTokenValidation","Неуспешный запрос авторизации: action=LOGIN, некорректный токен Неуспешный запрос авторизации: передан некорректный токен 5707A5BC7FFA4D269F3CDBEC3708DE3_ (Спецсимвол)",""
"passed","Thu Sep 17 10:49:56 MSK 2026","Thu Sep 17 10:49:56 MSK 2026","13","","TestServiceEndpointTest","","TestServiceEndpointTest","failureTokenValidation","Неуспешный запрос авторизации: action=LOGIN, некорректный токен Неуспешный запрос авторизации: передан некорректный токен  (Пустая строка)",""
"passed","Thu Sep 17 10:49:55 MSK 2026","Thu Sep 17 10:49:55 MSK 2026","21","","TestServiceEndpointTest","","TestServiceEndpointTest","failureApiKeyValidation","failureApiKeyValidation(String, String) Неуспешный запрос авторизации: передан некорректный api key  (Пустая строка)",""
"passed","Thu Sep 17 10:49:43 MSK 2026","Thu Sep 17 10:49:44 MSK 2026","1792","","TestServiceEndpointTest","","TestServiceEndpointTest","failureMissingTokenParameter","Неуспешный запрос авторизации: Отсутствует параметр token",""
